Dataset order,Species_I. setosa,Species_I. versicolor,Species_I. virginica,Petal width_Medium,Petal width_Thick,Petal width_Thin,Petal length_Long,Petal length_Medium,Petal length_Short,Sepal width_Medium,Sepal width_Narrow,Sepal width_Wide,Sepal Length_Long,Sepal Length_Medium,Sepal Length_Short
1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
5,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
6,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
7,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
8,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
9,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
10,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
11,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
12,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
13,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
14,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
15,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
16,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
17,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
18,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
19,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
20,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
21,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
22,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
23,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
24,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
25,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
26,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
27,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
28,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
29,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
30,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
31,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
32,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
33,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
34,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
35,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
36,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
37,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
38,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
39,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
40,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
41,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
42,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
43,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
44,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
45,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
46,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
47,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
48,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
49,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
50,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
51,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
52,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
53,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
54,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
55,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
56,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
57,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
58,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
59,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
60,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
61,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
62,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
63,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
64,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
65,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
66,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
67,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
68,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
69,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
70,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
71,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
72,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
73,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
74,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
75,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
76,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
77,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
78,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
79,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
80,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
81,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
82,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
83,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
84,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
85,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
86,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
87,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
88,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
89,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
90,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
91,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
92,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
93,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
94,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
95,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
96,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
97,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
98,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
99,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
100,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
101,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
102,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
103,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
104,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
105,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
106,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
107,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
108,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
109,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
110,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
111,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
112,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
113,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
114,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
115,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
116,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
117,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
118,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
119,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
120,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
121,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
